"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"1311422","","NEW","2013-03-08T22:56:18","C","","","N","Y","OFF","2013-06-28","2020-02-15","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.602","","0","USD","USD","10,000,000","10,000,000","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311423","","NEW","2013-03-08T22:56:24","U","UC","","N","Y","OFF","2013-06-28","2020-02-15","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.602","","0","USD","USD","100,000,000+","100,000,000+","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311426","","NEW","2013-03-08T19:37:01","U","PC","","N","Y","OFF","2013-04-03","2014-12-31","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","USD-LIBOR-BBA","FIXED","Percent","0.38094","","0","USD","USD","250,000,000+","250,000,000+","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311427","","NEW","2013-03-08T22:57:41","U","UC","","N","Y","OFF","2012-09-19","2015-04-15","ACT/360","USD","IR","","InterestRate:IRSwap:OIS","Termination","USD-Federal Funds-H.15-OIS-COMPOUND","FIXED","Percent","0.2","USD","1,010.10101","USD","USD","100,000,000+","100,000,000+","1Y","1Y","1Y","","","0","","","","0","","","Percent","0","","0"
"1311428","1307702","CANCEL","2013-03-08T20:33:32","U","PC","","N","Y","OFF","2013-03-11","2013-08-26","ACT/360","MXN","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","MXN-TIIE-FX","Percent","4.345","","0","MXN","MXN","3,000,000,000+","3,000,000,000+","28D","28D","","28D","","0","","","","0","","","Percent","0","","0"
"1311429","1307702","CORRECT","2013-03-08T20:35:33","U","PC","","N","Y","OFF","2013-03-11","2013-06-03","ACT/360","MXN","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","MXN-TIIE-FX","Percent","4.345","","0","MXN","MXN","3,000,000,000+","3,000,000,000+","28D","28D","","28D","","0","","","","0","","","Percent","0","","0"
"1311430","","NEW","2013-03-08T23:01:00","U","UC","","N","Y","OFF","2011-04-07","2028-02-15","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","FIXED","USD-LIBOR-BBA","Percent","4.065","USD","8,470,000","USD","USD","50,000,000","50,000,000","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311435","","NEW","2013-03-08T19:36:59","U","PC","","N","Y","OFF","2013-04-03","2014-12-31","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","FIXED","USD-LIBOR-BBA","Percent","0.37794","","0","USD","USD","250,000,000+","250,000,000+","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311436","","NEW","2013-03-08T22:59:00","U","","","N","Y","OFF","2013-03-12","2023-03-13","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","2.14","","0","USD","USD","2,000,000","2,000,000","6M","6M","","3M","","0","","","","0","","","Percent","0","","0"
"1311437","","NEW","2013-03-08T22:54:20","U","","","N","Y","OFF","2013-03-12","2023-03-13","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","2.14","","0","USD","USD","4,000,000","4,000,000","6M","6M","","3M","","0","","","","0","","","Percent","0","","0"
"1311438","","NEW","2013-03-08T22:56:36","U","","","N","Y","OFF","2013-03-12","2023-03-13","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","2.14","","0","USD","USD","4,000,000","4,000,000","6M","6M","","3M","","0","","","","0","","","Percent","0","","0"
"1311439","","NEW","2013-03-08T23:02:08","U","","","N","Y","OFF","2013-03-12","2023-03-13","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","2.14","","0","USD","USD","2,000,000","2,000,000","6M","6M","","3M","","0","","","","0","","","Percent","0","","0"
"1311440","","NEW","2013-03-08T19:36:33","U","UC","","N","Y","OFF","2013-04-03","2017-05-31","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","USD-LIBOR-BBA","FIXED","Percent","0.69982","","0","USD","USD","100,000,000+","100,000,000+","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
